region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED305,21,7,28,1078,338,1416,17,3,20,3,0,3,90,92,182,24743,19880,44623,3230,2517,5747,880,20,900,464,64,528,488,103,591,325,143,468,1517,1416,2933,32856,24583,57439,0,4,4,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,8,7,15,0,0,0,0,0,0,125,16,141,32,30,62,24,19,43,181,65,246,332,136,468,521,208,729,5,3,8,17,4,21,41,3,44,63,10,73,1257,1788,3045,4047,4019,8066,623,490,1113,39367,31098,70465
CED306,16,4,20,1163,442,1605,63,22,85,0,6,6,106,104,210,27064,21957,49021,3114,2460,5574,1047,36,1083,573,98,671,751,187,938,538,247,785,1610,1536,3146,36045,27099,63144,3,0,3,0,0,0,3,0,3,0,3,3,3,0,3,0,0,0,9,3,12,19,5,24,3,0,3,62,25,87,38,36,74,20,7,27,142,73,215,396,197,593,547,273,820,3,11,14,33,13,46,31,7,38,67,31,98,1123,1865,2988,3665,3980,7645,673,480,1153,42120,33728,75848
CED307,1878,2011,3889,416,489,905,0,0,0,6,3,9,65,30,95,24531,19534,44065,1523,2017,3540,869,16,885,746,58,804,303,46,349,232,92,324,495,472,967,31064,24768,55832,248,242,490,0,0,0,0,0,0,886,895,1781,168,243,411,94,15,109,1396,1395,2791,0,0,0,0,4,4,79,115,194,49,74,123,10,5,15,138,198,336,313,122,435,1847,1715,3562,145,162,307,7,11,18,15,3,18,167,176,343,1189,1908,3097,2887,4694,7581,436,343,779,37590,33604,71194
CED308,465,373,838,355,526,881,10,6,16,4,3,7,50,29,79,25557,21538,47095,1810,2135,3945,795,19,814,445,65,510,312,88,400,310,135,445,556,565,1121,30669,25482,56151,79,79,158,3,0,3,0,0,0,226,177,403,35,24,59,33,3,36,376,283,659,0,0,0,0,0,0,23,28,51,30,63,93,9,8,17,62,99,161,274,127,401,712,509,1221,77,60,137,11,16,27,21,11,32,109,87,196,1511,2082,3593,2388,3891,6279,456,401,857,35845,32452,68297
CED309,100,62,162,329,268,597,9,0,9,3,5,8,28,20,48,20676,18629,39305,1516,1804,3320,792,22,814,386,41,427,291,119,410,355,116,471,907,909,1816,25392,21995,47387,10,10,20,0,0,0,0,0,0,100,31,131,7,21,28,5,4,9,122,66,188,0,0,0,0,0,0,16,9,25,21,41,62,16,6,22,53,56,109,246,119,365,421,241,662,15,11,26,19,8,27,17,5,22,51,24,75,1679,2344,4023,2700,4005,6705,397,390,787,30640,28999,59639
CED310,196,144,340,293,190,483,3,0,3,3,0,3,51,31,82,18369,16458,34827,1495,1654,3149,754,21,775,303,45,348,330,108,438,342,122,464,841,921,1762,22980,19694,42674,24,24,48,0,0,0,0,0,0,135,101,236,20,33,53,5,4,9,184,162,346,0,0,0,0,0,0,7,13,20,31,49,80,21,10,31,59,72,131,242,109,351,485,343,828,34,24,58,26,7,33,13,7,20,73,38,111,1534,2162,3696,2538,3742,6280,371,376,747,27981,26355,54336
CED311,12,0,12,1283,251,1534,62,5,67,5,0,5,43,60,103,24485,18578,43063,2911,2193,5104,922,33,955,665,59,724,398,88,486,416,183,599,1714,1673,3387,32916,23123,56039,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,215,24,239,32,14,46,15,4,19,262,45,307,511,140,651,776,185,961,4,0,4,25,6,31,41,13,54,70,19,89,2199,2525,4724,3818,3603,7421,686,537,1223,40465,29992,70457
CED312,562,649,1211,557,912,1469,4,3,7,4,3,7,37,22,59,25582,20323,45905,2076,2031,4107,1275,29,1304,491,45,536,160,20,180,246,87,333,372,481,853,31366,24605,55971,83,114,197,4,0,4,0,0,0,170,179,349,38,58,96,29,9,38,324,360,684,0,0,0,0,0,0,140,204,344,54,101,155,7,11,18,201,316,517,296,116,412,821,792,1613,74,80,154,10,12,22,16,5,21,100,97,197,963,1617,2580,2340,3800,6140,540,447,987,36130,31358,67488
CED313,1157,1210,2367,4041,5437,9478,853,815,1668,4,5,9,189,154,343,22342,17010,39352,1464,2457,3921,347,9,356,762,147,909,1640,534,2174,261,116,377,2066,2191,4257,35126,30085,65211,282,292,574,16,14,30,0,0,0,137,126,263,40,51,91,31,23,54,506,506,1012,140,171,311,0,0,0,147,190,337,89,171,260,75,74,149,451,606,1057,411,306,717,1368,1418,2786,101,106,207,58,56,114,43,15,58,202,177,379,1389,1794,3183,2870,4806,7676,464,408,872,41419,38688,80107
CED314,14,12,26,164,136,300,3,4,7,0,0,0,99,108,207,23167,19993,43160,2267,2386,4653,859,29,888,495,41,536,471,79,550,249,98,347,1330,1044,2374,29118,23930,53048,0,0,0,0,0,0,0,0,0,8,8,16,0,0,0,0,0,0,8,8,16,0,0,0,0,0,0,13,4,17,13,20,33,5,6,11,31,30,61,242,121,363,281,159,440,9,0,9,7,8,15,13,5,18,29,13,42,1361,1622,2983,2660,4088,6748,466,405,871,33915,30217,64132
CED315,6,3,9,690,509,1199,44,18,62,7,3,10,130,106,236,25501,23184,48685,2649,2690,5339,773,25,798,1031,121,1152,1133,334,1467,524,187,711,1324,1156,2480,33812,28336,62148,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,7,6,7,13,0,0,0,15,22,37,27,52,79,33,22,55,81,103,184,447,258,705,531,365,896,6,3,9,29,38,67,66,23,89,101,64,165,619,1097,1716,3361,4577,7938,554,450,1004,38978,34889,73867
CED316,12,11,23,297,170,467,13,8,21,0,3,3,51,39,90,15989,15395,31384,1639,1942,3581,692,21,713,494,55,549,446,116,562,265,83,348,756,711,1467,20654,18554,39208,0,0,0,0,0,0,0,0,0,3,0,3,3,3,6,0,0,0,6,3,9,4,0,4,0,0,0,17,4,21,11,13,24,4,5,9,36,22,58,225,97,322,267,122,389,4,0,4,16,12,28,12,9,21,32,21,53,869,1318,2187,2234,2862,5096,428,370,798,24484,23247,47731
CED317,8,6,14,879,236,1115,14,6,20,6,0,6,87,101,188,21568,18220,39788,2668,2302,4970,1253,51,1304,561,59,620,495,133,628,786,262,1048,2566,2132,4698,30891,23508,54399,5,0,5,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,9,3,12,3,3,6,0,0,0,52,8,60,22,14,36,29,5,34,106,30,136,332,173,505,447,206,653,5,0,5,26,3,29,43,21,64,74,24,98,2367,2541,4908,3073,3439,6512,778,590,1368,37630,30308,67938
CED318,16,8,24,672,663,1335,63,35,98,9,3,12,138,146,284,23709,21803,45512,2412,3063,5475,724,22,746,697,109,806,1270,553,1823,766,224,990,2756,2802,5558,33232,29431,62663,3,6,9,0,0,0,0,0,0,3,3,6,0,3,3,3,0,3,9,12,21,9,7,16,0,0,0,8,13,21,35,62,97,31,26,57,83,108,191,370,222,592,462,342,804,6,4,10,36,20,56,32,20,52,74,44,118,1274,1777,3051,3353,4202,7555,717,630,1347,39112,36426,75538
CED319,2507,2760,5267,1730,2266,3996,12,3,15,3,8,11,95,67,162,23106,18298,41404,1638,2356,3994,625,6,631,724,74,798,693,101,794,216,98,314,910,1006,1916,32259,27043,59302,327,340,667,3,0,3,0,0,0,627,740,1367,110,205,315,83,18,101,1150,1303,2453,0,5,5,0,0,0,100,142,242,55,133,188,28,22,50,183,302,485,233,133,366,1566,1738,3304,109,139,248,16,26,42,25,4,29,150,169,319,1098,1459,2557,3041,5005,8046,484,456,940,38598,35870,74468
CED320,1112,1267,2379,213,195,408,7,3,10,3,3,6,36,26,62,20595,17042,37637,1759,1835,3594,1267,27,1294,440,31,471,184,66,250,256,90,346,547,618,1165,26419,21203,47622,136,180,316,0,0,0,0,0,0,434,409,843,94,148,242,80,13,93,744,750,1494,0,0,0,0,0,0,15,12,27,14,35,49,8,3,11,37,50,87,261,120,381,1042,920,1962,121,110,231,9,8,17,15,9,24,145,127,272,967,1564,2531,2681,3882,6563,511,448,959,31765,28144,59909
CED321,14,10,24,322,102,424,6,0,6,3,3,6,41,46,87,20652,17365,38017,2361,1990,4351,1324,61,1385,424,79,503,434,124,558,610,210,820,2661,2389,5050,28852,22379,51231,3,0,3,0,0,0,0,0,0,3,3,6,3,3,6,0,0,0,9,6,15,0,0,0,0,0,0,38,7,45,7,0,7,4,0,4,49,7,56,318,119,437,376,132,508,3,3,6,5,0,5,59,13,72,67,16,83,3885,3524,7409,2503,3500,6003,703,520,1223,36386,30071,66457
CED322,337,224,561,456,607,1063,4,0,4,6,4,10,38,51,89,23139,21274,44413,1604,1923,3527,574,8,582,413,54,467,517,178,695,306,101,407,771,778,1549,28165,25202,53367,51,36,87,0,0,0,0,0,0,138,87,225,16,15,31,34,7,41,239,145,384,0,0,0,0,0,0,23,18,41,43,68,111,3,11,14,69,97,166,282,107,389,590,349,939,54,39,93,17,9,26,22,14,36,93,62,155,1457,1990,3447,2526,4105,6631,448,418,866,33279,32126,65405
CED323,257,210,467,789,1161,1950,12,0,12,3,3,6,81,64,145,23822,19904,43726,1721,2120,3841,528,11,539,511,103,614,641,255,896,327,148,475,1623,1885,3508,30315,25864,56179,63,56,119,0,3,3,0,0,0,156,114,270,13,29,42,16,13,29,248,215,463,0,3,3,0,0,0,24,29,53,30,76,106,26,19,45,80,127,207,273,125,398,601,467,1068,50,45,95,21,14,35,18,4,22,89,63,152,1705,2012,3717,2684,4097,6781,564,495,1059,35958,32998,68956
CED324,2435,2140,4575,2561,3419,5980,3,3,6,5,0,5,139,65,204,21950,15850,37800,1509,2409,3918,463,17,480,562,85,647,962,205,1167,229,100,329,859,865,1724,31677,25158,56835,353,399,752,0,0,0,0,0,0,194,214,408,67,86,153,75,32,107,689,731,1420,3,5,8,0,0,0,174,240,414,81,192,273,27,21,48,285,458,743,252,155,407,1226,1344,2570,122,101,223,33,19,52,20,9,29,175,129,304,1213,1454,2667,2669,4381,7050,479,401,880,37439,32867,70306
CED325,1067,1276,2343,770,997,1767,4,3,7,5,5,10,65,42,107,24224,17955,42179,1865,2590,4455,652,23,675,581,41,622,325,49,374,193,96,289,426,506,932,30177,23583,53760,331,366,697,0,0,0,0,0,0,681,692,1373,119,235,354,51,10,61,1182,1303,2485,0,0,0,0,0,0,64,78,142,39,112,151,12,5,17,115,195,310,250,126,376,1547,1624,3171,147,192,339,11,12,23,11,0,11,169,204,373,867,1316,2183,2277,3703,5980,481,411,892,35518,30841,66359
CED326,921,1024,1945,581,814,1395,4,3,7,3,4,7,58,41,99,22161,18198,40359,1739,2019,3758,770,27,797,535,40,575,283,63,346,277,92,369,520,674,1194,27852,22999,50851,289,247,536,0,0,0,0,0,0,633,714,1347,92,171,263,63,20,83,1077,1152,2229,3,3,6,3,0,3,27,78,105,34,81,115,6,10,16,73,172,245,261,90,351,1411,1414,2825,120,143,263,14,12,26,18,7,25,152,162,314,855,1341,2196,2561,4093,6654,491,402,893,33322,30411,63733
CED327,455,550,1005,1839,2685,4524,7,3,10,7,0,7,116,47,163,28577,21314,49891,2547,2836,5383,961,27,988,595,44,639,294,30,324,267,88,355,474,531,1005,36139,28155,64294,119,143,262,0,0,0,4,0,4,143,178,321,42,64,106,27,12,39,335,397,732,4,0,4,0,0,0,316,457,773,107,264,371,19,14,33,446,735,1181,268,131,399,1049,1263,2312,83,90,173,24,36,60,16,3,19,123,129,252,794,1273,2067,2680,4280,6960,763,576,1339,41548,35676,77224
CED328,2326,2268,4594,2751,3021,5772,130,123,253,8,5,13,97,63,160,21421,17617,39038,1320,2287,3607,333,15,348,756,97,853,1382,298,1680,252,114,366,1868,1431,3299,32644,27339,59983,365,403,768,4,3,7,0,5,5,394,374,768,100,148,248,76,26,102,939,959,1898,30,29,59,0,0,0,180,228,408,92,166,258,40,40,80,342,463,805,343,192,535,1624,1614,3238,157,137,294,30,25,55,42,13,55,229,175,404,1871,2315,4186,3304,5415,8719,364,356,720,40036,37214,77250
CED329,32,17,49,304,181,485,8,0,8,0,3,3,41,36,77,17219,15612,32831,1526,1777,3303,836,28,864,501,66,567,403,133,536,321,113,434,1116,1043,2159,22307,19009,41316,0,6,6,0,0,0,0,0,0,19,9,28,4,3,7,0,0,0,23,18,41,0,0,0,0,0,0,11,7,18,20,21,41,13,3,16,44,31,75,239,93,332,306,142,448,3,3,6,20,8,28,26,3,29,49,14,63,1856,2260,4116,2605,3409,6014,497,417,914,27620,25251,52871
CED330,91,100,191,185,194,379,11,0,11,3,0,3,19,8,27,23162,18775,41937,1788,1893,3681,1641,41,1682,444,39,483,99,16,115,300,137,437,759,662,1421,28502,21865,50367,11,22,33,0,0,0,0,0,0,169,172,341,21,30,51,8,0,8,209,224,433,6,0,6,0,0,0,76,139,215,28,46,74,4,0,4,114,185,299,259,123,382,582,532,1114,35,29,64,0,6,6,21,3,24,56,38,94,2016,2578,4594,2393,3945,6338,524,442,966,34073,29400,63473
CED394,46,21,67,108,103,211,9,5,14,0,0,0,5,3,8,942,456,1398,193,144,337,76,7,83,24,7,31,37,23,60,76,30,106,233,208,441,1749,1007,2756,8,7,15,0,0,0,0,0,0,3,9,12,5,3,8,3,3,6,19,22,41,0,3,3,0,0,0,0,3,3,3,0,3,0,3,3,3,9,12,19,9,28,41,40,81,5,0,5,4,0,4,3,0,3,12,0,12,55,46,101,295,275,570,48,24,72,2200,1392,3592
CED397,3,0,3,0,0,0,3,0,3,0,0,0,3,3,6,32,20,52,3,3,6,4,0,4,3,0,3,0,0,0,46,4,50,15,5,20,112,35,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,43,77,8,4,12,157,82,239
CED401,204,159,363,2431,3281,5712,7,4,11,289,382,671,208,119,327,22883,17632,40515,1421,2470,3891,229,7,236,430,86,516,1440,591,2031,325,104,429,2642,2594,5236,32509,27429,59938,67,43,110,0,0,0,11,4,15,7,6,13,6,10,16,22,3,25,113,66,179,0,0,0,50,48,98,89,136,225,67,122,189,41,54,95,247,360,607,298,228,526,658,654,1312,31,24,55,39,44,83,25,23,48,95,91,186,1237,1432,2669,3026,4914,7940,462,435,897,37987,34955,72942
CED402,17,14,31,178,62,240,8,6,14,6,3,9,44,34,78,24369,20037,44406,1902,1747,3649,700,25,725,276,32,308,312,44,356,453,133,586,1889,1320,3209,30154,23457,53611,0,0,0,0,0,0,3,0,3,12,10,22,3,0,3,0,0,0,18,10,28,3,0,3,0,0,0,15,16,31,0,4,4,3,6,9,21,26,47,329,117,446,368,153,521,7,4,11,0,0,0,24,6,30,31,10,41,2766,2397,5163,2930,4363,7293,579,510,1089,36828,30890,67718
CED403,1057,945,2002,1227,1468,2695,12,0,12,48,100,148,81,39,120,21661,18500,40161,1148,1965,3113,337,13,350,333,43,376,767,169,936,292,105,397,762,753,1515,27725,24100,51825,141,73,214,0,0,0,10,11,21,151,158,309,30,34,64,27,9,36,359,285,644,0,0,0,8,12,20,64,82,146,33,100,133,16,17,33,121,211,332,285,216,501,765,712,1477,42,46,88,9,19,28,13,10,23,64,75,139,1149,1259,2408,2989,5138,8127,372,412,784,33064,31696,64760
CED404,17,7,24,681,162,843,12,0,12,4,4,8,95,52,147,19896,16986,36882,2118,1680,3798,661,19,680,309,42,351,416,80,496,634,167,801,2332,2101,4433,27175,21300,48475,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,6,3,9,0,0,0,0,0,0,70,9,79,18,10,28,21,0,21,109,19,128,369,117,486,484,139,623,4,0,4,13,5,18,35,5,40,52,10,62,2414,2041,4455,3276,3850,7126,556,441,997,33957,27781,61738
CED405,291,267,558,1795,2396,4191,10,5,15,457,592,1049,156,54,210,23216,18524,41740,1332,2107,3439,341,12,353,358,63,421,879,229,1108,352,100,452,716,714,1430,29903,25063,54966,39,47,86,0,0,0,8,10,18,26,24,50,10,14,24,8,4,12,91,99,190,0,0,0,50,74,124,65,90,155,42,113,155,24,15,39,181,292,473,333,248,581,605,639,1244,33,35,68,34,26,60,14,10,24,81,71,152,899,1133,2032,2848,4817,7665,421,427,848,34757,32150,66907
CED406,449,495,944,829,1012,1841,13,5,18,14,22,36,51,36,87,26495,21364,47859,1708,1848,3556,581,20,601,336,25,361,224,35,259,419,89,508,468,467,935,31587,25418,57005,196,128,324,0,0,0,4,8,12,202,268,470,24,47,71,13,3,16,439,454,893,0,0,0,6,6,12,56,98,154,45,77,122,9,5,14,116,186,302,358,198,556,913,838,1751,61,96,157,13,14,27,25,11,36,99,121,220,787,1236,2023,3254,5328,8582,467,434,901,37107,33375,70482
CED407,41,55,96,1835,2729,4564,14,8,22,6,4,10,57,37,94,24589,18823,43412,1396,1712,3108,502,12,514,266,20,286,225,26,251,321,80,401,344,329,673,29596,23835,53431,24,29,53,0,0,0,0,0,0,21,26,47,5,5,10,4,0,4,54,60,114,0,0,0,10,13,23,206,440,646,70,155,225,24,13,37,310,621,931,203,104,307,567,785,1352,15,8,23,22,24,46,8,6,14,45,38,83,581,929,1510,2803,4602,7405,367,384,751,33959,30573,64532
CED408,54,62,116,863,765,1628,8,8,16,7,6,13,46,20,66,23969,19779,43748,1314,1741,3055,643,18,661,271,23,294,215,51,266,409,111,520,1158,905,2063,28957,23489,52446,15,10,25,0,0,0,0,0,0,57,64,121,7,10,17,3,0,3,82,84,166,0,3,3,0,4,4,183,259,442,56,109,165,9,4,13,248,379,627,326,175,501,656,638,1294,17,20,37,23,17,40,24,6,30,64,43,107,2028,2348,4376,3195,5156,8351,424,414,838,35324,32088,67412
CED409,890,1229,2119,820,1234,2054,11,7,18,47,74,121,107,63,170,27099,20003,47102,1883,2471,4354,533,14,547,387,36,423,599,110,709,333,110,443,692,658,1350,33401,26009,59410,177,221,398,0,0,0,8,28,36,107,188,295,25,38,63,13,11,24,330,486,816,0,0,0,9,4,13,54,68,122,29,85,114,14,12,26,106,169,275,299,278,577,735,933,1668,77,107,184,9,19,28,16,10,26,102,136,238,622,882,1504,2851,4492,7343,648,557,1205,38359,33009,71368
CED410,19,15,34,2443,3136,5579,9,0,9,6,5,11,120,78,198,22814,18422,41236,1246,2241,3487,386,8,394,318,59,377,667,167,834,302,74,376,551,611,1162,28881,24816,53697,40,22,62,0,0,0,0,0,0,0,5,5,4,0,4,3,0,3,47,27,74,0,0,0,19,11,30,204,310,514,76,180,256,44,25,69,343,526,869,218,120,338,608,673,1281,15,12,27,23,43,66,25,5,30,63,60,123,1100,1235,2335,2708,4573,7281,428,458,886,33788,31815,65603
CED411,489,619,1108,385,434,819,18,3,21,3,5,8,28,19,47,25122,18735,43857,1852,1787,3639,762,41,803,308,28,336,224,24,248,345,99,444,874,675,1549,30410,22469,52879,145,183,328,0,0,0,11,11,22,137,212,349,31,45,76,24,0,24,348,451,799,0,0,0,0,3,3,26,66,92,25,58,83,5,0,5,56,127,183,236,97,333,640,675,1315,54,106,160,8,6,14,13,3,16,75,115,190,1092,1256,2348,2800,4463,7263,532,453,985,35549,29431,64980
CED494,5,9,14,27,23,50,0,0,0,3,0,3,4,0,4,299,145,444,44,35,79,18,0,18,9,0,9,10,0,10,12,0,12,42,25,67,473,237,710,4,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,7,7,3,3,6,7,14,21,0,0,0,3,0,3,0,0,0,3,0,3,5,4,9,87,54,141,16,12,28,591,321,912
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
CED501,925,1058,1983,1076,474,1550,13,0,13,3,4,7,45,25,70,23906,19219,43125,2582,1849,4431,662,20,682,406,29,435,235,63,298,1064,188,1252,675,615,1290,31592,23544,55136,433,418,851,0,3,3,0,0,0,441,494,935,100,120,220,51,9,60,1025,1044,2069,3,0,3,3,0,3,39,25,64,40,56,96,24,6,30,109,87,196,395,123,518,1529,1254,2783,231,288,519,28,13,41,24,3,27,283,304,587,526,1181,1707,4166,4498,8664,580,465,1045,38676,31246,69922
CED502,781,767,1548,828,287,1115,10,3,13,3,4,7,40,29,69,22738,18217,40955,2181,1738,3919,939,26,965,305,31,336,191,58,249,748,183,931,662,679,1341,29426,22022,51448,291,257,548,0,0,0,0,0,0,365,386,751,61,105,166,39,7,46,756,755,1511,0,0,0,3,0,3,52,25,77,26,28,54,18,5,23,99,58,157,340,102,442,1195,915,2110,176,182,358,21,8,29,10,5,15,207,195,402,993,1578,2571,3823,4290,8113,641,419,1060,36285,29419,65704
CED503,952,984,1936,713,608,1321,4,4,8,3,0,3,92,29,121,26500,20871,47371,2039,2179,4218,805,12,817,341,27,368,282,36,318,593,120,713,443,411,854,32767,25281,58048,527,458,985,0,3,3,0,0,0,536,560,1096,93,139,232,53,8,61,1209,1168,2377,3,0,3,0,3,3,43,83,126,18,62,80,13,3,16,77,151,228,299,112,411,1585,1431,3016,196,211,407,10,9,19,20,6,26,226,226,452,745,1344,2089,3132,4682,7814,581,489,1070,39036,33453,72489
CED504,1494,1255,2749,2253,1910,4163,7,3,10,7,9,16,127,60,187,21456,17478,38934,1285,1844,3129,169,11,180,450,82,532,1638,449,2087,443,142,585,1786,1714,3500,31115,24957,56072,442,425,867,0,0,0,0,0,0,197,201,398,59,56,115,61,30,91,759,712,1471,5,0,5,0,0,0,90,91,181,41,99,140,34,20,54,170,210,380,259,145,404,1188,1067,2255,118,97,215,26,16,42,32,7,39,176,120,296,1582,2013,3595,2944,4629,7573,367,328,695,37372,33114,70486
CED505,30,10,40,5439,927,6366,57,0,57,8,7,15,138,72,210,24661,18577,43238,4147,2645,6792,1054,44,1098,553,175,728,790,453,1243,1982,521,2503,4367,3927,8294,43226,27358,70584,10,0,10,0,0,0,0,0,0,5,9,14,3,3,6,4,0,4,22,12,34,13,0,13,0,0,0,72,21,93,45,21,66,108,30,138,238,72,310,608,212,820,868,296,1164,20,0,20,130,28,158,75,28,103,225,56,281,1830,2101,3931,4294,3880,8174,827,519,1346,51270,34210,85480
CED506,19,10,29,1325,265,1590,16,4,20,3,6,9,52,49,101,22806,18922,41728,2645,1902,4547,532,23,555,273,43,316,398,166,564,514,142,656,977,958,1935,29560,22490,52050,0,5,5,0,0,0,0,0,0,14,5,19,3,0,3,0,3,3,17,13,30,3,0,3,0,0,0,211,28,239,34,22,56,20,0,20,268,50,318,337,127,464,622,190,812,13,3,16,27,5,32,32,0,32,72,8,80,1361,1873,3234,3774,4446,8220,528,438,966,35917,29445,65362
CED507,892,1026,1918,1158,961,2119,23,3,26,8,6,14,80,40,120,25158,20694,45852,1768,1767,3535,577,10,587,388,55,443,672,227,899,631,126,757,882,844,1726,32237,25759,57996,705,620,1325,0,0,0,0,0,0,550,587,1137,72,149,221,93,29,122,1420,1385,2805,3,0,3,0,0,0,38,60,98,29,85,114,32,18,50,102,163,265,310,129,439,1832,1677,3509,212,240,452,20,16,36,18,4,22,250,260,510,929,1576,2505,3329,4861,8190,533,427,960,39110,34560,73670
CED508,754,943,1697,1007,731,1738,7,0,7,8,3,11,90,48,138,26563,20716,47279,2150,1954,4104,896,32,928,393,37,430,387,69,456,669,156,825,599,604,1203,33523,25293,58816,386,423,809,0,0,0,0,0,0,340,417,757,55,102,157,41,9,50,822,951,1773,0,0,0,0,0,0,61,69,130,37,61,98,25,5,30,123,135,258,266,123,389,1211,1209,2420,146,160,306,19,10,29,15,5,20,180,175,355,830,1323,2153,3377,4409,7786,570,460,1030,39691,32869,72560
CED509,1925,1673,3598,539,299,838,9,4,13,0,6,6,76,32,108,25910,21510,47420,1963,1997,3960,754,19,773,368,36,404,329,51,380,793,150,943,617,608,1225,33283,26385,59668,1030,789,1819,3,0,3,3,0,3,757,672,1429,185,201,386,81,22,103,2059,1684,3743,3,0,3,0,0,0,12,30,42,24,37,61,14,7,21,53,74,127,303,134,437,2415,1892,4307,295,282,577,14,3,17,23,6,29,332,291,623,1035,1859,2894,3659,5242,8901,474,447,921,41198,36116,77314
